Sequence	BLAST	Pfam	Prosite	KEGG Pathway	Gene Ontology	Comments
ABO13803	Fumarylacetoacetase; Acetylation; Alternative splicing; Calcium; Complete proteome; Direct protein sequencing; Disease mutation; Hydrolase; Magnesium; Metal-binding; Phenylalanine catabolism; Phosphoprotein; Reference proteome; Tyrosine catabolism	Fumarylacetoacetate (FAA) hydrolase family; Fumarylacetoacetase N-terminal	NULL	Metabolic pathways [acb01100]; Tyrosine metabolism [acb00350]; Microbial metabolism in diverse environments [acb01120]; Styrene degradation [acb00643]	cytosol [GO:0005829]; extracellular exosome [GO:0070062]; fumarylacetoacetase activity [GO:0004334]; metal ion binding [GO:0046872]; arginine catabolic process [GO:0006527]; L-phenylalanine catabolic process [GO:0006559]; tyrosine catabolic process [GO:0006572]; catalytic activity [GO:0003824]; metabolic process [GO:0008152]; fumarylacetoacetase activity [GO:0004334]; aromatic amino acid family metabolic process [GO:0009072]	Amino acid catabolism
ABO13124	Succinate dehydrogenase cytochrome b556 subunit; Cell inner membrane; Cell membrane; Complete proteome; Electron transport; Heme; Iron; Membrane; Metal-binding; Reference proteome; Transmembrane; Transmembrane helix; Transport; Tricarboxylic acid cycle	Succinate dehydrogenase/Fumarate reductase transmembrane subunit; Fumarate reductase subunit D	NULL	Metabolic pathways [acb01100]; Biosynthesis of secondary metabolites [acb01110]; Microbial metabolism in diverse environments [acb01120]; Butanoate metabolism [acb00650]; Carbon metabolism [acb01200]; Citrate cycle (TCA cycle) [acb00020]; Biosynthesis of antibiotics [acb01130]; Oxidative phosphorylation [acb00190]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; succinate dehydrogenase complex [GO:0045281]; electron carrier activity [GO:0009055]; metal ion binding [GO:0046872]; succinate dehydrogenase activity [GO:0000104]; tricarboxylic acid cycle [GO:0006099]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]; fumarate metabolic process [GO:0006106]; membrane [GO:0016020]	Part of TCA cycle, anchored in membrane, possible biosynthesis of antibiotics, very well annotated
ABO11399	Uncharacterized short-chain type dehydrogenase/reductase y4mP; Complete proteome; Oxidoreductase; Plasmid; Reference proteome	Enoyl-(Acyl carrier protein) reductase; short chain dehydrogenase; KR domain; 3-hydroxyacyl-CoA dehydrogenase, NAD binding domain; S-adenosyl-L-homocysteine hydrolase, NAD binding domain	Short-chain dehydrogenases/reductases family signature	NULL	oxidoreductase activity [GO:0016491]; 3-hydroxyacyl-CoA dehydrogenase activity [GO:0003857]; oxidoreductase activity [GO:0016491]; fatty acid metabolic process [GO:0006631]; oxidation-reduction process [GO:0055114]; oxidoreductase activity [GO:0016491]	Another metabolic enzyme, specifically for fatty acid metabolism
ABO13856	Uncharacterized protein MJ0686; Complete proteome; Reference proteome	Protein of unknown function DUF262	NULL	NULL	NULL	No good annotations
ABO13444	Oligopeptidase A; Complete proteome; Hydrolase; Metal-binding; Metalloprotease; Protease; Reference proteome; Zinc	Peptidase family M3; Death-like domain of SPT6	Neutral zinc metallopeptidases, zinc-binding region signature	NULL	cytoplasm [GO:0005737]; cytosol [GO:0005829]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; peptidase activity [GO:0008233]; DNA replication [GO:0006260]; signal peptide processing [GO:0006465]; metalloendopeptidase activity [GO:0004222]; proteolysis [GO:0006508]	Probable oligopeptidase, involved in signal peptide processing
ABO13445	Uncharacterized protein YheV; Complete proteome; Reference proteome	Probable metal-binding protein (DUF2387); Restriction alleviation protein Lar; Ribosomal protein S27; A2L zinc ribbon domain; Transposase zinc-ribbon domain; Putative transposase DNA-binding domain; RNA polymerases M/15 Kd subunit	NULL	NULL	structural constituent of ribosome [GO:0003735]; translation [GO:0006412]; intracellular [GO:0005622]; ribosome [GO:0005840]; transcription, DNA-templated [GO:0006351]	Heavily involved in transposable elements, has transposase domains
ABO13443	Oligopeptidase A; Complete proteome; Hydrolase; Metal-binding; Metalloprotease; Protease; Reference proteome; Zinc	Poly(ADP-ribose) polymerase, regulatory domain; Folliculin-interacting protein middle domain; Putative rep protein (DUF1424)	NULL	NULL	cytosol [GO:0005829]; metal ion binding [GO:0046872]; metalloendopeptidase activity [GO:0004222]; signal peptide processing [GO:0006465]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; protein ADP-ribosylation [GO:0006471]	Probable oligopeptidase, involved in signal peptide processing
ABO11413	Ferric enterobactin receptor; Cell outer membrane; Complete proteome; Ion transport; Iron; Iron transport; Membrane; Receptor; Reference proteome; Signal; TonB box; Transmembrane; Transmembrane beta strand; Transport	TonB dependent receptor	TonB-dependent receptor proteins signature 2	NULL	cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]; outer membrane [GO:0019867]; enterobactin transporter activity [GO:0042931]; iron ion binding [GO:0005506]; receptor activity [GO:0004872]; siderophore uptake transmembrane transporter activity [GO:0015344]; enterobactin transport [GO:0042930]; iron ion homeostasis [GO:0055072]; siderophore transport [GO:0015891]; receptor activity [GO:0004872]; transport [GO:0006810]; membrane [GO:0016020]	NULL
ABO11412	Ferric enterobactin receptor; Cell outer membrane; Complete proteome; Ion transport; Iron; Iron transport; Membrane; Receptor; Reference proteome; Signal; TonB box; Transmembrane; Transmembrane beta strand; Transport	TonB-dependent Receptor Plug Domain; TonB dependent receptor	NULL	Two-component system [acb02020]	cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]; outer membrane [GO:0019867]; enterobactin transporter activity [GO:0042931]; iron ion binding [GO:0005506]; receptor activity [GO:0004872]; siderophore uptake transmembrane transporter activity [GO:0015344]; enterobactin transport [GO:0042930]; iron ion homeostasis [GO:0055072]; siderophore transport [GO:0015891]; receptor activity [GO:0004872]; transport [GO:0006810]; membrane [GO:0016020]; receptor activity [GO:0004872]; transport [GO:0006810]; membrane [GO:0016020]	Protein that acquires iron for the microbe
ABO13112	Uncharacterized HTH-type transcriptional regulator YtfH; Complete proteome; DNA-binding; Transcription; Transcription regulation	HxlR-like helix-turn-helix; Transcriptional regulator PadR-like family; Winged helix DNA-binding domain; Hypothetical protein (DUF2513); Ribonuclease R winged-helix domain; MarR family; Winged helix-turn-helix DNA-binding	HxlR-type HTH domain profile	NULL	DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]; transcription, DNA-templated [GO:0006351]; transcription factor activity, sequence-specific DNA binding [GO:0003700]; regulation of transcription, DNA-templated [GO:0006355]	Likely transcription factor, regulation of amino acid metabolism
